epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.965,0.95619,2.6282,1.07553,0.96146,0.65259,0.91609,0.72566,0.74916,2.16803,1.01454,0.000412946,0.000412946,0.000412946
2,293.784,0.85922,1.50844,1.07526,0.93815,0.96499,0.9784,0.79624,0.74294,1.13229,1.07082,0.000826875,0.000826875,0.000826875
3,440.138,0.83063,1.26555,1.09653,0.95332,0.94788,0.98276,0.82088,0.68089,0.85324,1.03015,0.00123805,0.00123805,0.00123805
4,586.365,0.82614,1.11437,1.09745,0.96325,0.98328,0.99121,0.82657,0.67859,0.6271,1.03849,0.00123763,0.00123763,0.00123763
5,732.587,0.73778,0.93109,1.0446,0.81541,0.98074,0.96204,0.82699,0.59828,0.81131,0.98285,0.0012335,0.0012335,0.0012335
6,878.638,0.76227,0.88638,1.06479,0.97056,0.9647,0.99417,0.84443,0.665,0.56496,1.04675,0.00122937,0.00122937,0.00122937
7,1024.8,0.74424,0.84831,1.05512,0.96699,0.97744,0.99448,0.83848,0.64158,0.58773,1.00387,0.00122525,0.00122525,0.00122525
8,1171.01,0.71427,0.7327,1.02707,0.96558,0.99324,0.99042,0.88983,0.49381,0.49273,0.92152,0.00122112,0.00122112,0.00122112
9,1317.18,0.7171,0.70162,1.03073,0.97397,0.98076,0.98877,0.86468,0.55974,0.47651,0.95643,0.001217,0.001217,0.001217
10,1463.15,0.6771,0.64466,1.01057,0.98099,0.98687,0.99314,0.87358,0.55052,0.46186,0.96103,0.00121287,0.00121287,0.00121287
11,1609.15,0.68093,0.61007,1.01388,0.96974,0.9861,0.995,0.89298,0.47989,0.43439,0.91041,0.00120875,0.00120875,0.00120875
12,1755.32,0.67161,0.58851,1.0048,0.97802,0.9687,0.99248,0.87852,0.51903,0.46175,0.94077,0.00120462,0.00120462,0.00120462
13,1901.3,0.66274,0.59937,1.00936,0.95296,0.99276,0.99407,0.8817,0.49554,0.41617,0.91686,0.0012005,0.0012005,0.0012005
14,2047.31,0.63989,0.54508,0.98931,0.96066,0.9834,0.99163,0.89126,0.50948,0.41544,0.92805,0.00119637,0.00119637,0.00119637
15,2193.37,0.65505,0.54519,1.00717,0.98603,0.9792,0.99398,0.89308,0.4964,0.42536,0.92637,0.00119225,0.00119225,0.00119225
16,2339.4,0.63015,0.50716,0.98766,0.98213,0.99619,0.99474,0.89896,0.466,0.37527,0.90933,0.00118812,0.00118812,0.00118812
17,2485.52,0.6246,0.52608,0.99123,0.97779,0.97906,0.99356,0.89959,0.46767,0.40625,0.91215,0.001184,0.001184,0.001184
18,2631.8,0.61777,0.49455,0.98238,0.96489,0.9499,0.98873,0.89365,0.48631,0.4239,0.93053,0.00117988,0.00117988,0.00117988
