epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.63244,1.02481,3.54775,1.0688,0.00344,1,0.40543,0.30293,0.82891,3.09267,0.87939,0.000275,0.000275,0.000275
2,7.78806,0.95048,2.44779,1.04595,0.0043,1,0.58856,0.44385,0.84696,3.03536,0.92992,0.000556931,0.000556931,0.000556931
3,10.965,0.96633,2.0505,1.05229,0.74005,0.69167,0.77754,0.54951,0.93493,2.37568,0.97604,0.00083317,0.00083317,0.00083317
4,14.0599,0.96703,1.95534,1.05304,0.58263,0.87403,0.69183,0.50468,0.94649,1.89012,0.98638,0.00110372,0.00110372,0.00110372
5,17.0838,1.00487,1.76528,1.07622,0.67,0.90471,0.79974,0.59696,0.98924,1.74505,1.02929,0.0012005,0.0012005,0.0012005
6,20.2473,0.97265,1.62537,1.10027,0.85011,0.71272,0.84617,0.6623,0.90359,1.46026,1.09086,0.00118812,0.00118812,0.00118812
7,23.2514,0.9447,1.53344,1.07563,0.93081,0.93056,0.94429,0.74846,0.82104,1.12101,1.05618,0.00117575,0.00117575,0.00117575
8,26.2831,0.95611,1.37343,1.09364,0.92912,0.84111,0.97366,0.76404,0.83675,1.05489,1.06886,0.00116337,0.00116337,0.00116337
9,29.3556,0.92607,1.27084,1.08248,0.99057,0.97505,0.995,0.79314,0.85805,0.77862,1.05639,0.001151,0.001151,0.001151
10,32.4528,0.91282,1.23476,1.08097,0.96734,0.97727,0.99313,0.79197,0.78524,0.74395,0.98515,0.00113863,0.00113863,0.00113863
11,35.4643,0.9273,1.12515,1.05946,0.93108,0.94444,0.94466,0.80173,0.66518,0.95848,0.94498,0.00112625,0.00112625,0.00112625
12,38.4833,0.88956,1.11951,1.03986,0.9472,0.92548,0.98091,0.83484,0.72738,0.79763,0.96335,0.00111388,0.00111388,0.00111388
13,41.4003,0.91665,1.09829,1.05194,0.97597,0.94444,0.9895,0.7895,0.82344,0.68984,0.99636,0.0011015,0.0011015,0.0011015
14,44.3613,0.87049,0.94342,1.02644,0.98185,0.98746,0.995,0.79548,0.73932,0.62974,0.97074,0.00108913,0.00108913,0.00108913
15,47.2884,0.84633,0.90871,1.04711,0.97397,0.9873,0.995,0.82201,0.76695,0.56247,0.98322,0.00107675,0.00107675,0.00107675
16,50.2734,0.84942,0.91065,1.05117,0.98575,0.99663,0.995,0.80163,0.77705,0.5568,0.98736,0.00106437,0.00106437,0.00106437
17,53.1491,0.8434,0.85824,1.03833,0.85219,0.8051,0.92367,0.74401,0.73256,1.06146,0.98304,0.001052,0.001052,0.001052
18,56.072,0.831,0.81782,1.02494,0.96496,0.94595,0.995,0.82589,0.69147,0.66212,0.97366,0.00103962,0.00103962,0.00103962
19,58.9979,0.83948,0.8229,1.04981,0.96254,0.95915,0.97631,0.7749,0.76062,0.53712,1.00146,0.00102725,0.00102725,0.00102725
20,61.8174,0.80358,0.75268,1.01023,0.99356,0.97727,0.99018,0.82701,0.69522,0.5013,0.96848,0.00101488,0.00101488,0.00101488
21,64.7208,0.80893,0.76437,1.01303,0.98375,0.9236,0.95943,0.76925,0.79997,0.58535,1.01431,0.0010025,0.0010025,0.0010025
22,67.6463,0.85855,0.77,1.05415,0.96596,0.97222,0.9833,0.81222,0.74764,0.58597,0.9891,0.000990125,0.000990125,0.000990125
23,70.4922,0.79346,0.71704,0.99157,0.97076,0.97222,0.96981,0.77753,0.75863,0.55434,1.02177,0.00097775,0.00097775,0.00097775
24,73.3599,0.8751,0.76182,1.06132,0.95901,0.97981,0.995,0.79502,0.73405,0.51165,1.00947,0.000965375,0.000965375,0.000965375
25,76.2268,0.82153,0.71783,1.02398,0.96405,0.9253,0.98743,0.78526,0.8127,0.58412,0.99101,0.000953,0.000953,0.000953
26,79.087,0.80156,0.65759,1.00751,0.98393,0.99439,0.995,0.83596,0.70372,0.44715,0.9506,0.000940625,0.000940625,0.000940625
27,82.0333,0.8436,0.69938,1.02003,0.97078,0.94954,0.99,0.8318,0.68378,0.61207,0.97382,0.00092825,0.00092825,0.00092825
28,85.0345,0.80639,0.67651,1.00746,0.98876,0.96168,0.995,0.82719,0.70544,0.48359,0.99899,0.000915875,0.000915875,0.000915875
29,88.0375,0.80662,0.69063,1.01976,0.97373,0.96628,0.98654,0.82976,0.72723,0.50184,0.99025,0.0009035,0.0009035,0.0009035
30,90.9256,0.80503,0.62453,1.03474,0.91588,0.95621,0.98389,0.82036,0.69416,0.52826,0.97044,0.000891125,0.000891125,0.000891125
31,93.8968,0.79157,0.60901,1.01549,0.92223,0.9493,0.99,0.82991,0.69742,0.51823,0.96905,0.00087875,0.00087875,0.00087875
32,96.7696,0.75919,0.58702,1.00262,0.99172,0.97222,0.96859,0.81543,0.68814,0.45231,0.96723,0.000866375,0.000866375,0.000866375
33,99.6659,0.7905,0.57459,1.00529,0.98633,1,0.995,0.83622,0.67488,0.39729,0.97218,0.000854,0.000854,0.000854
34,102.484,0.77255,0.5864,1.00176,0.97969,1,0.995,0.8308,0.6716,0.40756,0.98201,0.000841625,0.000841625,0.000841625
35,105.462,0.76713,0.56899,1.01267,0.98336,1,0.995,0.82231,0.70513,0.4285,1.00003,0.00082925,0.00082925,0.00082925
36,108.387,0.78531,0.56599,1.03263,0.98195,1,0.995,0.80912,0.74314,0.42806,1.02851,0.000816875,0.000816875,0.000816875
37,111.279,0.73756,0.55901,0.9906,0.98474,0.99697,0.995,0.83337,0.66766,0.38922,0.96915,0.0008045,0.0008045,0.0008045
38,114.125,0.74593,0.56566,1.01935,0.89557,0.91618,0.98813,0.83711,0.74016,0.53756,0.99167,0.000792125,0.000792125,0.000792125
39,117.293,0.74554,0.5637,1.00145,0.99179,1,0.995,0.84057,0.69297,0.38375,0.97134,0.00077975,0.00077975,0.00077975
40,120.303,0.73171,0.54007,0.99146,0.9911,1,0.995,0.84046,0.67768,0.37005,0.96621,0.000767375,0.000767375,0.000767375
41,123.096,0.76144,0.53777,1.01341,0.98711,1,0.995,0.83653,0.69601,0.37217,0.95251,0.000755,0.000755,0.000755
42,126.12,0.72154,0.49661,1.0042,0.9774,0.99823,0.995,0.85415,0.64687,0.38322,0.96186,0.000742625,0.000742625,0.000742625
43,129.003,0.71589,0.52922,1.00653,0.9919,1,0.995,0.83546,0.67228,0.37907,0.96385,0.00073025,0.00073025,0.00073025
44,131.902,0.75754,0.51373,1.02839,0.99208,1,0.995,0.80951,0.72458,0.38648,0.99532,0.000717875,0.000717875,0.000717875
45,134.884,0.74683,0.52166,1.00866,0.99352,1,0.995,0.8307,0.65602,0.37617,0.97559,0.0007055,0.0007055,0.0007055
46,137.863,0.71566,0.48724,0.97562,0.97014,1,0.99313,0.84096,0.63509,0.38712,0.9409,0.000693125,0.000693125,0.000693125
47,140.867,0.73992,0.51276,1.00675,0.96387,1,0.995,0.81017,0.75907,0.43502,0.98813,0.00068075,0.00068075,0.00068075
48,143.673,0.73596,0.52558,0.99194,0.98924,0.99505,0.995,0.83244,0.71451,0.36168,0.96338,0.000668375,0.000668375,0.000668375
49,146.525,0.71298,0.49109,0.99695,0.99001,0.99977,0.995,0.86932,0.64823,0.35461,0.93976,0.000656,0.000656,0.000656
50,149.45,0.69196,0.49441,0.98615,0.98476,0.97458,0.99313,0.85068,0.65911,0.36693,0.95274,0.000643625,0.000643625,0.000643625
51,152.506,0.71337,0.50806,0.97464,0.98832,0.99451,0.995,0.84769,0.64975,0.35471,0.93211,0.00063125,0.00063125,0.00063125
52,155.483,0.70347,0.48633,0.98008,0.97831,1,0.995,0.82984,0.67312,0.35692,0.95671,0.000618875,0.000618875,0.000618875
53,158.507,0.68811,0.45885,0.97445,0.98768,1,0.995,0.83516,0.65512,0.35834,0.95479,0.0006065,0.0006065,0.0006065
54,161.496,0.72068,0.46764,0.98333,0.99421,1,0.995,0.83811,0.64639,0.33648,0.96726,0.000594125,0.000594125,0.000594125
55,164.266,0.67593,0.44572,0.95809,0.99317,1,0.995,0.81258,0.73005,0.37433,0.99336,0.00058175,0.00058175,0.00058175
56,167.257,0.67145,0.42579,0.97944,0.99233,1,0.995,0.86443,0.62737,0.33997,0.93771,0.000569375,0.000569375,0.000569375
57,170.069,0.69229,0.45523,0.9796,0.92284,0.93307,0.96494,0.80636,0.66442,0.52165,0.9604,0.000557,0.000557,0.000557
58,173.043,0.69084,0.47645,0.98574,0.9904,1,0.995,0.84015,0.66956,0.349,0.97862,0.000544625,0.000544625,0.000544625
59,175.861,0.68605,0.45043,0.97173,0.99403,1,0.995,0.84307,0.69582,0.36436,0.97361,0.00053225,0.00053225,0.00053225
